id,name,category,price,cost,supplier,description
201,Smartphone Galaxy X1,Electronics,29.99,18.00,TechCorp,Smartphone básico com boa qualidade
202,Notebook Pro 15,Electronics,149.99,95.00,CompuTech,Notebook para trabalho e estudos
203,Camiseta Básica,Clothing,9.99,4.50,FashionLtd,Camiseta 100% algodão
204,Tênis Esportivo,Footwear,89.50,45.00,SportBrand,Tênis para corrida e caminhada
205,Smart TV 55",Electronics,199.99,130.00,TechCorp,TV 4K com Smart features
206,Jaqueta Jeans,Clothing,79.90,40.00,FashionLtd,Jaqueta jeans clássica
207,Tablet Pro 10",Electronics,299.99,180.00,CompuTech,Tablet profissional 10 polegadas
208,Calça Social,Clothing,39.90,20.00,FashionLtd,Calça social masculina
209,Fone Bluetooth,Electronics,159.99,80.00,AudioTech,Fone sem fio com cancelamento de ruído
210,Mochila Escolar,Accessories,49.99,25.00,BagCorp,Mochila resistente para estudantes
211,Caneca Térmica,Kitchen,19.99,8.00,HomeLiving,Caneca que mantém temperatura
212,Mouse Gamer,Electronics,129.99,65.00,GameTech,Mouse com alta precisão para games
213,Agenda 2024,Stationery,24.99,12.00,PaperPlus,Agenda organizada por mês
214,Relógio Digital,Accessories,89.99,45.00,TimeTech,Relógio com múltiplas funções
215,Câmera DSLR,Electronics,169.99,110.00,PhotoPro,Câmera profissional para fotografia
216,Bermuda Cargo,Clothing,44.99,22.00,FashionLtd,Bermuda com múltiplos bolsos
217,Carregador Portátil,Electronics,79.99,40.00,PowerTech,Power bank de alta capacidade
218,Livro Programação,Books,99.99,50.00,BookWorld,Guia completo de programação
219,Headset Gamer,Electronics,199.99,100.00,GameTech,Headset com microfone profissional
220,Boné Esportivo,Accessories,39.99,18.00,SportBrand,Boné ajustável para esportes
221,Monitor 27",Electronics,259.99,160.00,DisplayTech,Monitor full HD para trabalho
222,Cafeteira Elétrica,Kitchen,119.99,60.00,HomeLiving,Cafeteira programável
223,Chinelo Conforto,Footwear,89.99,35.00,ComfortFoot,Chinelo ortopédico
224,Kit Ferramentas,Tools,69.99,35.00,ToolMaster,Kit básico com chaves e alicates